#每行最后需添加一个空格
#语料 操作码 认同回复 否认回复 附加回复(非必须)
自动-登录/登录 login 好的/收到 请查看用户名和密码 
退出-登录/登出 logout 好的/收到 无法退出 
退出/结束/结束-对话 exit 好的/收到 无法退出 
菜-哪些/食物-有-哪/食物-有-哪些/查看-菜/查看-餐品/吃-的-哪些/有-什么-菜/有些-什么-菜 foods 为您推荐%type类别的菜品,%foods,如果需要查看其它类别，请告诉我类别名称/正在跳转,请自由查看选择 出现异常 该类别的菜品有,%foods 
购物车-有-哪些/已经-点-哪些/点-了-哪些-菜 showcart 您已经点了以下菜品,%carts 您的购物车还是空空如也哦/您还什么都没点呢 
删除/不要/不-想要 deletecart 正在删除/已经去掉 您没有点该菜品 对不起，我没听清是哪道菜，可以重新给我说菜名吗 
清空-购物车 clearcart 已经清空/好了，现在你可以重新点了 本来就是空的 
点-一个/来-一个/来-一份/点-个/来-个/想要/有-吗/添加/添加-购物车 addcart 好的,已经添加%food 没有该菜品/商品不存在 不好意思没听清菜名，可以再说一遍吗 再次添加%food,您点了多份 
下单-吧/可以-下单/结账 makeorder 好的，正在查看相关信息，请稍等。我看下，/我看下， 您的购物车是空的，无法下单 你的桌号是多少呢 你确认你的桌号是%table_number吗 
开启-连续-对话/打开-连续-对话 opencontinue 好的，已经打开该模式/已开启 不行 
关闭-连续-对话/取消-连续-对话/停止-连续-对话 closecontinue 好的，已关闭该模式/已关闭 不行 
订单-状态/订单-情况 orderstate 正在查询。您目前活动的订单有%order_num个，(于%time下单的订单，目前状态是%state,) 您目前没有活动的订单 
怎么样/好吃-吗/介绍-一下 describe %food,%describe,你可以根据喜好来选择 不好意思，我没听清是哪道菜，可以再说一遍吗 
#
#下方为订餐系统以外的检索式对话
#
你-是-谁/你-叫-什么/你-什么-名字 anwser 我是智能店小二哦/我是你的点餐助手，帮你更方便点餐/你猜，不告诉你 我不知道 
你好/您好 anwser 你好，有什么我能帮你的/你好！ 我不好 
